# GL Journal Export - 2026-01-17
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T18:58:17.526Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Account,Account Description,Subaccount,Ref. Number,Debit Amount,Credit Amount,Description
AZD-UH,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"18,440.26",0.00,2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"6,576.62",2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,10000,Cash on Hand,00-00,2026-01-17 DS,"35,039.42",0.00,2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,1.04,0.00,2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"17,455.21",0.00,2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-UH,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"17,455.21",2026-01-17 DS - Mint Bell Road Phoenix: Daily Sales
AZD-BUCK,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"85,718.28",2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"32,443.24",0.00,2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"11,820.85",2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,10000,Cash on Hand,00-00,2026-01-17 DS,"65,095.59",0.00,2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.30,0.00,2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"45,162.33",0.00,2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-BUCK,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"45,162.33",2026-01-17 DS - Mint Buckeye/Verado: Daily Sales
AZD-ELMIRA,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"19,744.01",2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"7,490.23",0.00,2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"3,083.17",2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,10000,Cash on Hand,00-00,2026-01-17 DS,"15,337.46",0.00,2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.00,0.51,2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"10,812.22",0.00,2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-ELMIRA,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"10,812.22",2026-01-17 DS - Mint El Mirage: Daily Sales
AZD-4245IN,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"52,676.04",2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"20,576.81",0.00,2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"7,073.82",2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,10000,Cash on Hand,00-00,2026-01-17 DS,"37,661.85",0.00,2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,"1,511.20",0.00,2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"18,164.73",0.00,2026-01-17 DS - Mint Mesa : Daily Sales
AZD-4245IN,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"18,164.73",2026-01-17 DS - Mint Mesa : Daily Sales
AZV-GTL,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"36,529.20",2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"14,137.47",0.00,2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"5,262.65",2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,10000,Cash on Hand,00-00,2026-01-17 DS,"26,218.27",0.00,2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,"1,436.11",0.00,2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"12,448.44",0.00,2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"12,448.44",2026-01-17 DS - Mint Northern Phoenix: Daily Sales
AZV-EBA,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"38,108.11",2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"14,774.90",0.00,2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"5,164.52",2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,10000,Cash on Hand,00-00,2026-01-17 DS,"27,093.83",0.00,2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,"1,403.90",0.00,2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"15,178.07",0.00,2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-EBA,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"15,178.07",2026-01-17 DS - Mint Scottsdale: Daily Sales
AZV-SWT,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"102,037.36",2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"36,806.59",0.00,2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,"17,054.87",2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,10000,Cash on Hand,00-00,2026-01-17 DS,"76,112.70",0.00,2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,11010,Debit Card Receivable,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,"6,172.94",0.00,2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"48,233.74",0.00,2026-01-17 DS - Mint Tempe: Daily Sales
AZV-SWT,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"48,233.74",2026-01-17 DS - Mint Tempe: Daily Sales
FLD-BONITA,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"1,495.00",2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,735.50,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,10000,Cash on Hand,00-00,2026-01-17 DS,369.50,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,11010,Debit Card Receivable,00-00,2026-01-17 DS,390.00,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,401.20,0.00,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,401.20,2026-01-17 DS - Mint Bonita Springs : Daily Sales
FLD-BRADEN,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"3,884.00",2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"2,431.69",0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,10000,Cash on Hand,00-00,2026-01-17 DS,567.31,0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,11010,Debit Card Receivable,00-00,2026-01-17 DS,770.00,0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,115.00,0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,691.25,0.00,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,691.25,2026-01-17 DS - Mint Bradenton: Daily Sales
FLD-BRANDO,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"8,171.00",2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"4,941.15",0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,10000,Cash on Hand,00-00,2026-01-17 DS,"1,519.85",0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,11010,Debit Card Receivable,00-00,2026-01-17 DS,"1,710.00",0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"1,390.15",0.00,2026-01-17 DS - Mint Brandon: Daily Sales
FLD-BRANDO,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"1,390.15",2026-01-17 DS - Mint Brandon: Daily Sales
FLD-CAPECO,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"4,116.00",2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"2,019.57",0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,10000,Cash on Hand,00-00,2026-01-17 DS,"1,156.43",0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,11010,Debit Card Receivable,00-00,2026-01-17 DS,940.00,0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,854.76,0.00,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-CAPECO,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,854.76,2026-01-17 DS - Mint Cape Coral: Daily Sales
FLD-DELRAY,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"5,319.00",2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"2,791.35",0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,10000,Cash on Hand,00-00,2026-01-17 DS,"1,045.60",0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,11010,Debit Card Receivable,00-00,2026-01-17 DS,"1,300.00",0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,182.05,0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"1,182.07",0.00,2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-DELRAY,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"1,182.07",2026-01-17 DS - Mint Delray Beach: Daily Sales
FLD-GAINES,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"2,743.00",2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"1,501.45",0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,10000,Cash on Hand,00-00,2026-01-17 DS,441.55,0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,11010,Debit Card Receivable,00-00,2026-01-17 DS,740.00,0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,60.00,0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,559.84,0.00,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-GAINES,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,559.84,2026-01-17 DS - Mint Gainesville: Daily Sales
FLD-JA4332,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"4,698.00",2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"2,487.25",0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,10000,Cash on Hand,00-00,2026-01-17 DS,870.75,0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,11010,Debit Card Receivable,00-00,2026-01-17 DS,"1,340.00",0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"1,219.79",0.00,2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-JA4332,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"1,219.79",2026-01-17 DS - Mint Jacksonville: Daily Sales
FLD-LONGWO,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"4,020.00",2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"2,411.30",0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,10000,Cash on Hand,00-00,2026-01-17 DS,198.70,0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,11010,Debit Card Receivable,00-00,2026-01-17 DS,"1,410.00",0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"1,200.38",0.00,2026-01-17 DS - Mint Longwood: Daily Sales
FLD-LONGWO,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"1,200.38",2026-01-17 DS - Mint Longwood: Daily Sales
FLD-MELBOU,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"11,713.99",2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"5,880.15",0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,10000,Cash on Hand,00-00,2026-01-17 DS,"2,453.84",0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,11010,Debit Card Receivable,00-00,2026-01-17 DS,"3,380.00",0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,"3,241.67",0.00,2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MELBOU,12250,Inventory - Finished Goods,00-00,2026-01-17 DS,0.00,"3,241.67",2026-01-17 DS - Mint Melbourne: Daily Sales
FLD-MIAMI,40001,Retail Income: Retail Sales,20-00,2026-01-17 DS,0.00,"3,500.00",2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-17 DS,"1,824.20",0.00,2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,40003,Retail Income: Sales Return,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,40004,Loyalty Discounts,20-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,23500,Taxes Payable - Sales & Use,00-00,2026-01-17 DS,0.00,0.00,2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,10000,Cash on Hand,00-00,2026-01-17 DS,715.80,0.00,2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,11010,Debit Card Receivable,00-00,2026-01-17 DS,930.00,0.00,2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-17 DS,30.00,0.00,2026-01-17 DS - Mint Miami: Daily Sales
FLD-MIAMI,50000,Retail - Consumable Products for Resale,20-00,2026-01-17 DS,667.87,0.00,2026-01-17 DS - Mint Miami: Daily Sales
